2026-06-18 11:24:52,412 | INFO | POST /create_database
2026-06-18 11:24:52,454 | INFO | database created successful
2026-06-18 11:25:11,302 | INFO | GET /all_agents
2026-06-18 11:25:11,309 | INFO | You managed to get the list
2026-06-18 11:28:53,979 | INFO | POST /create_agent
2026-06-18 11:28:53,999 | INFO | agent created successful
2026-06-18 11:41:18,006 | INFO | GET /agent
2026-06-18 11:41:18,009 | INFO | id :(1,) exists
2026-06-18 11:41:47,320 | INFO | PUT /update agent
2026-06-18 11:41:47,320 | ERROR | 'id'
2026-06-18 11:42:14,277 | INFO | PUT /deactivate_agent
2026-06-18 11:42:14,293 | INFO | agent update successful
2026-06-18 11:42:27,303 | INFO | PUT /deactivate_agent
2026-06-18 11:42:27,305 | INFO | agent update successful
2026-06-18 11:42:37,340 | INFO | PUT /deactivate_agent
2026-06-18 11:42:37,357 | INFO | agent update successful
2026-06-18 12:00:31,496 | INFO | GET /all_missions
2026-06-18 12:00:31,523 | ERROR | 1146 (42S02): Table 'Intelligence_db.mission' doesn't exist
2026-06-18 12:02:31,883 | INFO | GET /all_missions
2026-06-18 12:02:31,893 | INFO | You managed to get the list
2026-06-18 12:02:48,510 | INFO | GET /mission
2026-06-18 12:02:48,512 | INFO | id :(7,) exists
2026-06-18 12:03:47,091 | INFO | POST /create_mission
2026-06-18 12:03:47,091 | INFO | missions created successful
2026-06-18 12:05:13,518 | INFO | POST /create_mission
2026-06-18 12:05:13,518 | INFO | missions created successful
2026-06-18 16:07:22,915 | INFO | PUT /cancel_mission
2026-06-18 16:07:22,930 | ERROR | unsupported operand type(s) for |: 'dict' and 'NoneType'
2026-06-18 16:09:47,511 | INFO | GET /mission
2026-06-18 16:09:47,511 | INFO | starting...
2026-06-18 16:09:47,515 | ERROR | unsupported operand type(s) for |: 'dict' and 'NoneType'
2026-06-18 16:11:26,963 | INFO | GET /mission
2026-06-18 16:11:26,963 | INFO | starting...
2026-06-18 16:12:18,831 | INFO | GET /mission
2026-06-18 16:12:18,831 | INFO | starting...
2026-06-18 16:12:18,842 | INFO | id :(1,) exists
2026-06-18 16:12:40,736 | INFO | PUT /cancel_mission
2026-06-18 16:12:40,742 | INFO | start cancel mission
2026-06-18 16:12:40,791 | INFO | miission canceled
2026-06-18 16:13:36,460 | INFO | GET /mission
2026-06-18 16:13:36,460 | INFO | starting...
2026-06-18 16:13:36,468 | INFO | id :(1,) exists
2026-06-18 16:13:51,231 | INFO | PUT /assign_mission
2026-06-18 16:13:51,231 | INFO | assign_mission
2026-06-18 16:13:51,233 | INFO | assign_mission successful
2026-06-18 16:30:39,572 | INFO | GET /summary
2026-06-18 16:30:39,572 | INFO | start get summary
2026-06-18 16:31:55,704 | INFO | GET /summary
2026-06-18 16:31:55,704 | INFO | start get summary
2026-06-18 16:31:55,707 | ERROR | list indices must be integers or slices, not str
2026-06-18 16:32:45,919 | INFO | GET /summary
2026-06-18 16:32:45,919 | INFO | start get summary
2026-06-18 16:35:07,462 | INFO | GET /summary
2026-06-18 16:35:07,462 | INFO | start get summary
2026-06-18 16:35:07,485 | ERROR | 'all_missions'
2026-06-18 16:35:36,864 | INFO | GET /summary
2026-06-18 16:35:36,864 | INFO | start get summary
2026-06-18 16:37:03,221 | INFO | GET /summary
2026-06-18 16:37:03,222 | INFO | start get summary
2026-06-18 16:37:03,235 | ERROR | MissionDB.get_open_missions_by_agent() missing 1 required positional argument: 'id'
2026-06-18 16:39:26,200 | INFO | GET /summary
2026-06-18 16:39:26,201 | INFO | start get summary
2026-06-18 16:39:26,222 | ERROR | 1054 (42S22): Unknown column 'IN_PROGRESS' in 'where clause'
2026-06-18 16:39:46,933 | INFO | GET /summary
2026-06-18 16:39:46,933 | INFO | start get summary
